accession,name,ftp_path
GCF_000001735.4,GCF_000001735.4 TAIR10.1 Arabidopsis thaliana,
GCF_030704535.1,GCF_030704535.1 ASM3070453v1 Vitis vinifera,
GCF_022201045.2,GCF_022201045.2 DVS_A1.0 Citrus sinensis,
GCA_034370585.1,GCA_034370585.1 ASM3437058v1 Fragaria x ananassa,
GCF_031755915.1,GCF_031755915.1 ASM3175591v1 Ziziphus jujuba,
GCA_036169575.1,GCA_036169575.1 PB533_SCSK_HAP2 Citrus reticulata,
GCA_019925255.1,GCA_019925255.1 SCAU_Lch_v2.0 Litchi chinensis,
GCA_034663535.1,GCA_034663535.1 C.limon_PB_Hap2 Citrus x limon,
GCA_018223645.1,GCA_018223645.1 ASM1822364v1 Jasminum sambac,
GCA_028456135.1,GCA_028456135.1 Malus_sieversii.altA Malus sieversii,
GCA_031772625.1,GCA_031772625.1 CPIR1 Pinus tabuliformis,
GCA_025617385.1,GCA_025617385.1 AGM_Bkoe_4.1 Murraya koenigii,
GCA_022457165.1,GCA_022457165.1 NFU_Jman_1.0 Juglans mandshurica,
GCA_034359265.1,GCA_034359265.1 ASM3435926v1 Canna indica,
GCA_025177825.1,GCA_025177825.1 AF01 Aechmea fasciata,
GCA_031232105.1,GCA_031232105.1 ASM3123210v1 Capsicum rhomboideum,
GCA_037974665.1,GCA_037974665.1 Ehretia_macrophylla_alt_v1.0 Ehretia macrophylla,
GCA_039513925.1,GCA_039513925.1 PZIJ_v1.0 Platanthera zijinensis,
GCA_037833965.1,GCA_037833965.1 MpTak2_v7.1 Marchantia polymorpha subsp. ruderalis,
GCA_900231445.1,GCA_900231445.1 Svevo.v1 Triticum turgidum subsp. durum,
GCA_916181665.1,GCA_916181665.1 Oat OT3098 v2 Avena sativa,
GCA_947561735.1,GCA_947561735.1 pearl_millet_23DB_ONT_assembly Cenchrus americanus,
GCA_902687465.1,GCA_902687465.1 Rye_Lo7_2018_v1p1p1 Secale cereale,
GCF_001625215.2,GCF_001625215.2 DH1 v3.0 Daucus carota subsp. sativus,
GCA_030408175.1,GCA_030408175.1 UTM_Trep_v1.0 Trifolium repens,
GCA_905216605.1,GCA_905216605.1 AARE701a Arabidopsis arenosa,
GCA_025502765.1,GCA_025502765.1 ASM2550276v1 Gossypium herbaceum,
GCA_022644695.1,GCA_022644695.1 ASM2264469v1 Cenchrus purpureus,
GCA_900128785.1,GCA_900128785.1 MPIPZ.v5 Arabis alpina,
GCA_036452645.1,GCA_036452645.1 ASM3645264v1 Capsella bursa-pastoris,
GCA_030445155.1,GCA_030445155.1 ASM3044515v1 Quercus variabilis,
GCA_032464435.1,GCA_032464435.1 ASM3246443v1 Aegilops umbellulata,
GCF_001406875.1,GCF_001406875.1 SPENNV200 Solanum pennellii,
GCF_901000735.1,GCF_901000735.1 CavTom2PMs-1.0 Corylus avellana,
GCA_003576665.1,GCA_003576665.1 ASM357666v1 Ipomoea trifida,
GCA_036885675.1,GCA_036885675.1 ASM3688567v1 Vigna mungo,
GCA_029677425.1,GCA_029677425.1 ASM2967742v1 Wolffia australiana,
GCA_028411795.1,GCA_028411795.1 ASM2841179v1 Euphorbia peplus,
GCA_036220445.1,GCA_036220445.1 ASM3622044v1 Malus hybrid cultivar,
GCA_025503065.1,GCA_025503065.1 ASM2550306v1 Gossypium bickii,
GCA_036013995.1,GCA_036013995.1 ASM3601399v1 Theobroma grandiflorum,
GCA_021014915.2,GCA_021014915.2 BSU_IDT2_0.1 Artemisia tridentata subsp. tridentata,
GCA_035233585.1,GCA_035233585.1 ASM3523358v1 Antiaris toxicaria,
GCF_030253575.1,GCF_030253575.1 ASM3025357v1 Rhododendron vialii,
GCA_030063025.1,GCA_030063025.1 ASM3006302v1 Avena longiglumis,
GCA_027186245.1,GCA_027186245.1 ASM2718624v1 Coriaria nepalensis,
GCA_035235625.1,GCA_035235625.1 ASM3523562v1 Saururus chinensis,
GCA_032401905.1,GCA_032401905.1 ASM3240190v1 Swietenia macrophylla,
GCA_038049695.1,GCA_038049695.1 ASM3804969v1 Cinnamomum chago,
GCA_030664755.1,GCA_030664755.1 ASM3066475v1 Microcos paniculata,
GCA_948330725.1,GCA_948330725.1 daSheArve1.1 Sherardia arvensis,
GCA_946896805.1,GCA_946896805.1 daScuGale1.1 Scutellaria galericulata,
GCA_030345155.1,GCA_030345155.1 ASM3034515v1 Vitis x doaniana,
GCA_036287905.1,GCA_036287905.1 ASM3628790v1 Corylus americana,
GCA_008044935.1,GCA_008044935.1 ASM804493v1 Gossypium turneri,
GCA_023547065.1,GCA_023547065.1 ASM2354706v1 Musa troglodytarum,
GCA_028216015.1,GCA_028216015.1 ASM2821601v1 Quercus dentata,
GCA_963855925.1,GCA_963855925.1 drIngLaur1.1 Inga laurina,
GCA_963425845.1,GCA_963425845.1 hybrid_with_Hi-C Sphenostylis stenocarpa,
GCF_003576645.1,GCF_003576645.1 ASM357664v1 Ipomoea triloba,
GCA_040448445.1,GCA_040448445.1 Spodiopogon sagittifolius Spodiopogon sagittifolius,
GCA_035236585.1,GCA_035236585.1 ASM3523658v1 Warburgia ugandensis,
GCA_963922655.1,GCA_963922655.1 genome_assembly Cardamine chenopodiifolia,
GCA_005610355.1,GCA_005610355.1 ASM561035v1 Gossypioides kirkii,
GCA_025506655.1,GCA_025506655.1 ASM2550665v1 Gossypium rotundifolium,
GCA_013348765.1,GCA_013348765.1 ASM1334876v1 Carpinus viminea,
GCA_023657505.1,GCA_023657505.1 ASM2365750v1 Camelina hispida,
GCA_910596185.1,GCA_910596185.1 chrysanthemum makinoi genome sequence Chrysanthemum makinoi,
GCA_949927565.1,GCA_949927565.1 Lactuca_saligna Lactuca saligna,
GCA_032402905.1,GCA_032402905.1 ASM3240290v1 Khaya senegalensis,
GCF_001433935.1,GCF_001433935.1 IRGSP-1.0 Oryza sativa Japonica Group,
GCF_902167145.1,GCF_902167145.1 Zm-B73-REFERENCE-NAM-5.0 Zea mays,
GCF_000188115.5,GCF_000188115.5 SL3.1 Solanum lycopersicum,
GCF_018294505.1,GCF_018294505.1 IWGSC CS RefSeq v2.1 Triticum aestivum,
GCF_000004515.6,GCF_000004515.6 Glycine_max_v4.0 Glycine max,
GCF_007990345.1,GCF_007990345.1 Gossypium_hirsutum_v2.1 Gossypium hirsutum,
GCF_904849725.1,GCF_904849725.1 MorexV3_pseudomolecules_assembly Hordeum vulgare subsp. vulgare,
GCF_020379485.1,GCF_020379485.1 Da-Ae Brassica napus,
GCF_000309985.2,GCF_000309985.2 CAAS_Brap_v3.01 Brassica rapa,
GCF_000003195.3,GCF_000003195.3 Sorghum_bicolor_NCBIv3 Sorghum bicolor,
GCF_002114115.1,GCF_002114115.1 ASM211411v1 Malus domestica,
GCF_003473485.1,GCF_003473485.1 MtrunA17r5.0-ANR Medicago truncatula,
GCF_000004075.3,GCF_000004075.3 Cucumber_9930_V3 Cucumis sativus,
GCA_034376525.1,GCA_034376525.1 ASM3437652v1 Nicotiana benthamiana,
GCF_003086295.2,GCF_003086295.2 arahy.Tifrunner.gnm1.KYV3 Arachis hypogaea,
GCA_003086295.3,GCA_003086295.3 arahy.Tifrunner.gnm2.J5K5 Arachis hypogaea,
GCF_002878395.1,GCF_002878395.1 UCD10Xv1.1 Capsicum annuum,
GCF_000695525.1,GCF_000695525.1 BOL Brassica oleracea var. oleracea,
GCF_000346465.2,GCF_000346465.2 Prunus_persica_NCBIv2 Prunus persica,
GCA_000499845.2,GCA_000499845.2 P. vulgaris v2.0 Phaseolus vulgaris,
GCF_000499845.1,GCF_000499845.1 PhaVulg1_0 Phaseolus vulgaris,
GCF_025177605.1,GCF_025177605.1 USDA_Cmelo_AY_1.0 Cucumis melo,
GCF_000002425.4,GCF_000002425.4 Phypa V3 Physcomitrium patens,
GCF_000331145.1,GCF_000331145.1 ASM33114v1 Cicer arietinum,
GCF_001659605.2,GCF_001659605.2 M.esculenta_v8 Manihot esculenta,
GCF_000005505.3,GCF_000005505.3 Brachypodium_distachyon_v3.0 Brachypodium distachyon,
GCA_002525835.2,GCA_002525835.2 ipoBat4 Ipomoea batatas,
GCF_002870075.4,GCF_002870075.4 Lsat_Salinas_v11 Lactuca sativa,
GCF_029168945.1,GCF_029168945.1 ASM2916894v1 Cannabis sativa,
GCF_030052815.1,GCF_030052815.1 ASM3005281v1 Hevea brasiliensis,
GCF_000002775.5,GCF_000002775.5 P.trichocarpa_v4.1 Populus trichocarpa,
GCF_036884655.1,GCF_036884655.1 Cavendish_Baxijiao_AAA Musa acuminata AAA Group,
GCA_029034555.1,GCA_029034555.1 KOR. cv.242-1 Citrullus lanatus,
GCF_024323335.1,GCF_024323335.1 CAAS_Psat_ZW6_1.0 Pisum sativum,
GCF_002742605.1,GCF_002742605.1 O_europaea_v1 Olea europaea var. sylvestris,
GCF_002127325.2,GCF_002127325.2 HanXRQr2.0-SUNRISE Helianthus annuus,
GCF_000263155.2,GCF_000263155.2 Setaria_italica_v2.0 Setaria italica,
GCF_000801105.2,GCF_000801105.2 ASM80110v3 Raphanus sativus,
GCA_020205605.1,GCA_020205605.1 ASM2020560v1 Panax ginseng,
GCF_011075055.1,GCF_011075055.1 CATAS_Mindica_2.1 Mangifera indica,
GCF_000442705.1,GCF_000442705.1 EG5 Elaeis guineensis,
GCA_018703725.1,GCA_018703725.1 ASM1870372v1 Brassica juncea,
GCA_009663005.1,GCA_009663005.1 ASM966300v1 Actinidia chinensis,
GCF_026745355.1,GCF_026745355.1 EL10.2 Beta vulgaris subsp. vulgaris,
GCA_036346405.1,GCA_036346405.1 KIB_Pedu_3 Phyllostachys edulis,
GCA_020631735.1,GCA_020631735.1 ASM2063173v1 Saccharum officinarum,
GCF_012489685.1,GCF_012489685.1 LjGifu_v1.2 Lotus japonicus,
GCA_019514585.1,GCA_019514585.1 ASM1951458v1 Dendrobium officinale,
GCA_018997955.1,GCA_018997955.1 ASM1899795v1 Gossypium barbadense,
GCF_028751815.1,GCF_028751815.1 IMPLAD_Smil_shh Salvia miltiorrhiza,
GCF_000512975.1,GCF_000512975.1 S_indicum_v1.0 Sesamum indicum,
GCA_030765085.1,GCA_030765085.1 ASM3076508v1 Allium cepa,
GCA_037177615.1,GCA_037177615.1 ASM3717761v1 Pyrus communis,
GCF_025698485.1,GCF_025698485.1 ASM2569848v2 Gossypium arboreum,
GCF_016808335.1,GCF_016808335.1 P.virgatum_v5 Panicum virgatum,
GCF_000184155.1,GCF_000184155.1 FraVesHawaii_1.0 Fragaria vesca subsp. vesca,
GCA_023541355.1,GCA_023541355.1 O. rufipogonIRGC106523RS1 Oryza rufipogon,
GCF_003713225.1,GCF_003713225.1 Cara_1.0 Coffea arabica,
GCA_016801055.1,GCA_016801055.1 ASM1680105v1 Panax notoginseng,
GCA_019359855.2,GCA_019359855.2 Kyuss_2.0 Lolium perenne,
GCF_019359855.1,GCF_019359855.1 MPB_Lper_Kyuss_1697 Lolium perenne,
GCF_000208745.1,GCF_000208745.1 Criollo_cocoa_genome_V2 Theobroma cacao,
GCF_000741045.1,GCF_000741045.1 Vradiata_ver6 Vigna radiata var. radiata,
GCF_007655135.1,GCF_007655135.1 ASM765513v2 Punica granatum,
GCF_001411555.2,GCF_001411555.2 Walnut 2.0 Juglans regia,
GCA_012066045.3,GCA_012066045.3 ASM1206604v3 Morus alba,
GCF_004118075.2,GCF_004118075.2 ASM411807v2 Vigna unguiculata,
GCA_948472305.1,GCA_948472305.1 Hedin2 genome v1 Vicia faba,
GCA_015852605.2,GCA_015852605.2 ASM1585260v2 Populus deltoides,
GCF_001540865.1,GCF_001540865.1 ASM154086v1 Ananas comosus,
GCA_029852735.1,GCA_029852735.1 ASM2985273v1 Persea americana,
GCA_034621305.1,GCA_034621305.1 SDAU_Spim_LA1589_1.0 Solanum pimpinellifolium,
GCA_029641205.1,GCA_029641205.1 ASM2964120v1 Citrus maxima,
GCF_009389715.1,GCF_009389715.1 palm_55x_up_171113_PBpolish2nd_filt_p Phoenix dactylifera,
GCF_016545825.1,GCF_016545825.1 ASM1654582v1 Eucalyptus grandis,
GCA_002319775.1,GCA_002319775.1 Ft1.0 Fagopyrum tataricum,
GCF_000340665.2,GCF_000340665.2 C.cajan_V1.1 Cajanus cajan,
GCF_019578655.1,GCF_019578655.1 ASM1957865v1 Ricinus communis,
GCA_018804465.1,GCA_018804465.1 PTv2 Populus tomentosa,
GCF_020520425.1,GCF_020520425.1 BTI_SOV_V1 Spinacia oleracea,
GCF_002575655.2,GCF_002575655.2 Aet v5.0 Aegilops tauschii subsp. strangulata,
GCF_002994745.2,GCF_002994745.2 RchiOBHm-V2 Rosa chinensis,
GCA_005286985.2,GCA_005286985.2 Setaria_viridis_v4.0 Setaria viridis,
GCF_005286985.1,GCF_005286985.1 Setaria_viridis_v2.0 Setaria viridis,
GCF_030272615.1,GCF_030272615.1 Sugi_1.0 Cryptomeria japonica,
GCA_022316695.1,GCA_022316695.1 ASM2231669v1 Camellia oleifera,
GCF_002806865.2,GCF_002806865.2 ASM280686v2 Cucurbita pepo subsp. pepo,
GCF_018446385.1,GCF_018446385.1 Zo_v1.1 Zingiber officinale,
GCA_024713555.1,GCA_024713555.1 Salk_sp9512.v2 Spirodela polyrhiza,
GCF_932294415.1,GCF_932294415.1 dhQueRobu3.1 Quercus robur,
GCF_000633955.1,GCF_000633955.1 Cs Camelina sativa,
GCA_032690845.1,GCA_032690845.1 Eleusine_coracana_v1.0 Eleusine coracana subsp. coracana,
GCA_032594955.1,GCA_032594955.1 BC332 Panicum miliaceum,
GCA_024454175.1,GCA_024454175.1 ASM2445417v1 Actinidia deliciosa,
GCF_902201215.1,GCF_902201215.1 ALMONDv2 Prunus dulcis,
GCF_000346735.1,GCF_000346735.1 P.mume_V1.0 Prunus mume,
GCA_026413185.1,GCA_026413185.1 ASM2641318v1 Pueraria montana var. lobata,
GCF_963169125.1,GCF_963169125.1 drHumLupu1.1 Humulus lupulus,
GCF_019175385.1,GCF_019175385.1 ASM1917538v2 Lycium barbarum,
GCA_021464415.1,GCA_021464415.1 ASM2146441v1 Lonicera japonica,
GCA_016647705.1,GCA_016647705.1 ASM1664770v1 Eucommia ulmoides,
GCF_001876935.1,GCF_001876935.1 Aspof.V1 Asparagus officinalis,
GCA_033617975.1,GCA_033617975.1 84K_subgenomeG Populus alba x Populus glandulosa,
GCA_040438285.1,GCA_040438285.1 BJFU_zoysia2.1 Zoysia japonica,
GCA_020226455.1,GCA_020226455.1 ZGL_assembly Prunus salicina,
GCA_018350135.1,GCA_018350135.1 ASM1835013v1 Citrus trifoliata,
GCA_009761775.1,GCA_009761775.1 UNIPI_FiCari_1.0 Ficus carica,
GCF_016808095.1,GCF_016808095.1 ASM1680809v1 Vigna angularis,
GCA_030737875.1,GCA_030737875.1 ASM3073787v1 Allium sativum,
GCF_018687715.1,GCF_018687715.1 C.illinoinensisPawnee_v1 Carya illinoinensis,
GCF_951802175.1,GCF_951802175.1 ddPopNigr1.1 Populus nigra,
GCF_004193775.1,GCF_004193775.1 ASM419377v2 Glycine soja,
GCF_003573695.1,GCF_003573695.1 ASM357369v1 Papaver somniferum,
GCA_003430845.1,GCA_003430845.1 ASM343084v1 Xanthoceras sorbifolium,
GCA_020205615.1,GCA_020205615.1 ASM2020561v1 Panax quinquefolius,
GCA_009805545.1,GCA_009805545.1 ASM980554v1 Oryza longistaminata,
GCA_018132145.1,GCA_018132145.1 ASM1813214v1 Boehmeria nivea var. tenacissima,
GCA_034509565.1,GCA_034509565.1 PI306540_Tmono Triticum monococcum,
GCA_037177725.1,GCA_037177725.1 Cte V1.0 Cyamopsis tetragonoloba,
GCF_000147395.1,GCF_000147395.1 OglaRS2 Oryza glaberrima,
GCA_023091065.1,GCA_023091065.1 ASM2309106v1 Dianthus caryophyllus,
GCA_037355405.1,GCA_037355405.1 Amur_grape_Zuoshan1 Vitis amurensis,
GCA_022539455.1,GCA_022539455.1 Dnobile Dendrobium nobile,
GCA_014218235.1,GCA_014218235.1 Taro_JAAS_v1.0 Colocasia esculenta,
GCA_033030585.1,GCA_033030585.1 KIB_Fhip_1.0 Hippophae rhamnoides,
GCA_033977485.1,GCA_033977485.1 Hmc_EndlessSummer_p1.0 Hydrangea macrophylla,
GCF_025698545.1,GCF_025698545.1 ASM2569854v1 Gossypium raimondii,
GCA_030254885.1,GCA_030254885.1 VITMroCarlos_v1.3 Vitis rotundifolia,
GCA_022984855.1,GCA_022984855.1 ASM2298485v1 Dimocarpus longan,
GCA_034195605.1,GCA_034195605.1 ASM3419560v1 Santalum album,
GCF_020283565.1,GCF_020283565.1 ARS_RC_1.1 Trifolium pratense,
GCA_020310875.1,GCA_020310875.1 C.richardii_v2 Ceratopteris richardii,
