ident,taxid,taxpath,superkingdom,phylum,class,order,family,genus,species,strain
GCF_000001735.4,3702,2759|35493|3398|3699|3700|3701|3702|,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,unclassified Arabidopsis thaliana subspecies/strain
GCF_030704535.1,29760,2759|35493|3398|403667|3602|3603|29760|,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vinifera,unclassified Vitis vinifera subspecies/strain
GCF_022201045.2,2711,2759|35493|3398|41937|23513|2706|2711|,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus sinensis,unclassified Citrus sinensis subspecies/strain
GCA_034370585.1,3747,2759|35493|3398|3744|3745|3746|3747|,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa,unclassified Fragaria x ananassa subspecies/strain
GCF_031755915.1,326968,2759|35493|3398|3744|3608|72171|326968|,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus jujuba,unclassified Ziziphus jujuba subspecies/strain
GCA_036169575.1,85571,2759|35493|3398|41937|23513|2706|85571|,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus reticulata,unclassified Citrus reticulata subspecies/strain
GCA_019925255.1,151069,2759|35493|3398|41937|23672|151068|151069|,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Litchi,Litchi chinensis,unclassified Litchi chinensis subspecies/strain
GCA_034663535.1,2708,2759|35493|3398|41937|23513|2706|2708|,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus x limon,unclassified Citrus x limon subspecies/strain
GCA_018223645.1,660624,2759|35493|3398|4143|4144|4147|660624|,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,Jasminum sambac,unclassified Jasminum sambac subspecies/strain
GCA_028456135.1,106567,2759|35493|3398|3744|3745|3749|106567|,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sieversii,unclassified Malus sieversii subspecies/strain
GCA_031772625.1,88731,2759|35493|58019|1446380|3318|3337|88731|,Eukaryota,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus tabuliformis,unclassified Pinus tabuliformis subspecies/strain
GCA_025617385.1,159030,2759|35493|3398|41937|23513|43710|159030|,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Murraya,Murraya koenigii,unclassified Murraya koenigii subspecies/strain
GCA_022457165.1,91218,2759|35493|3398|3502|16714|16718|91218|,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans mandshurica,unclassified Juglans mandshurica subspecies/strain
GCA_034359265.1,4628,2759|35493|3398|4618|4626|4627|4628|,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Cannaceae,Canna,Canna indica,unclassified Canna indica subspecies/strain
GCA_025177825.1,326768,2759|35493|3398|38820|4613|15114|326768|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Aechmea,Aechmea fasciata,unclassified Aechmea fasciata subspecies/strain
GCA_031232105.1,462292,2759|35493|3398|4069|4070|4071|462292|,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum rhomboideum,unclassified Capsicum rhomboideum subspecies/strain
GCA_037974665.1,163083,2759|35493|3398|1538097|1561073|48522|163083|,Eukaryota,Streptophyta,Magnoliopsida,Boraginales,Ehretiaceae,Ehretia,Ehretia macrophylla,unclassified Ehretia macrophylla subspecies/strain
GCA_039513925.1,2320716,2759|35493|3398|73496|4747|59352|2320716|,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera zijinensis,unclassified Platanthera zijinensis subspecies/strain
GCA_037833965.1,1480154,2759|35493|186770|28908|29585|3196|3197|1480154,Eukaryota,Streptophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia,Marchantia polymorpha,Marchantia polymorpha subsp. ruderalis
GCA_900231445.1,4567,2759|35493|3398|38820|4479|4564|4571|4567,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum turgidum,Triticum turgidum subsp. durum
GCA_916181665.1,4498,2759|35493|3398|38820|4479|4496|4498|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Avena sativa,unclassified Avena sativa subspecies/strain
GCA_947561735.1,4543,2759|35493|3398|38820|4479|4583|4543|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Cenchrus,Cenchrus americanus,unclassified Cenchrus americanus subspecies/strain
GCA_902687465.1,4550,2759|35493|3398|38820|4479|4549|4550|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Secale,Secale cereale,unclassified Secale cereale subspecies/strain
GCF_001625215.2,79200,2759|35493|3398|4036|4037|4038|4039|79200,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Daucus carota subsp. sativus
GCA_030408175.1,3899,2759|35493|3398|72025|3803|3898|3899|,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens,unclassified Trifolium repens subspecies/strain
GCA_905216605.1,38785,2759|35493|3398|3699|3700|3701|38785|,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis arenosa,unclassified Arabidopsis arenosa subspecies/strain
GCA_025502765.1,34274,2759|35493|3398|41938|3629|3633|34274|,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium herbaceum,unclassified Gossypium herbaceum subspecies/strain
GCA_022644695.1,154765,2759|35493|3398|38820|4479|4583|154765|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Cenchrus,Cenchrus purpureus,unclassified Cenchrus purpureus subspecies/strain
GCA_900128785.1,50452,2759|35493|3398|3699|3700|50451|50452|,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis alpina,unclassified Arabis alpina subspecies/strain
GCA_036452645.1,3719,2759|35493|3398|3699|3700|3718|3719|,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,unclassified Capsella bursa-pastoris subspecies/strain
GCA_030445155.1,103481,2759|35493|3398|3502|3503|3511|103481|,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus variabilis,unclassified Quercus variabilis subspecies/strain
GCA_032464435.1,4491,2759|35493|3398|38820|4479|4480|4491|,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Aegilops,Aegilops umbellulata,unclassified Aegilops umbellulata subspecies/strain
GCF_001406875.1,28526,2759|35493|3398|4069|4070|4107|28526|,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum pennellii,unclassified Solanum pennellii subspecies/strain
GCF_901000735.1,13451,2759|35493|3398|3502|3514|13450|13451|,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,unclassified Corylus avellana subspecies/strain
GCA_003576665.1,35884,2759|35493|3398|4069|4118|4119|35884|,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea trifida,unclassified Ipomoea trifida subspecies/strain
GCA_036885675.1,3915,2759|35493|3398|72025|3803|3913|3915|,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna mungo,unclassified Vigna mungo subspecies/strain
GCA_029677425.1,161112,2759|35493|3398|16360|4454|161109|161112|,Eukaryota,Streptophyta,Magnoliopsida,Alismatales,Araceae,Wolffia,Wolffia australiana,unclassified Wolffia australiana subspecies/strain
