Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCF_000001735.4,TAIR10.1,Arabidopsis thaliana,3702,,,,Columbia,,,Annotation submitted by TAIR and Araport,119146348,5,Chromosome,3/15/18,,5
GCF_030704535.1,ASM3070453v1,Vitis vinifera,29760,,,Pinot Noir 40024,,,,GCF_030704535.1-RS_2023_09,494873210,19,Complete Genome,8/9/23,,19
GCF_022201045.2,DVS_A1.0,Citrus sinensis,2711,,,Valencia sweet orange,,,,NCBI Citrus sinensis Annotation Release 103,298977511,9,Complete Genome,2/11/22,JAHMIS01,9
GCA_034370585.1,ASM3437058v1,Fragaria x ananassa,3747,,,Benihoppe,,,,,793463571,28,Complete Genome,12/14/23,,28
GCF_031755915.1,ASM3175591v1,Ziziphus jujuba,326968,,,Dongzao,,,,GCF_031755915.1-RS_2023_10,393332932,12,Complete Genome,9/20/23,,12
GCA_036169575.1,PB533_SCSK_HAP2,Citrus reticulata,85571,,,mandarin,,UCSK1,,,303165851,9,Complete Genome,1/26/24,JAWHPX01,9
GCA_019925255.1,SCAU_Lch_v2.0,Litchi chinensis,151069,,,FZX,Cultivated,,hermaphrodite,,470368600,15,Complete Genome,9/14/21,JAHYJY01,15
GCA_034663535.1,C.limon_PB_Hap2,Citrus x limon,2708,,,,,UCLL1,,,307473079,9,Complete Genome,12/28/23,JAWIMC01,9
GCA_018223645.1,ASM1822364v1,Jasminum sambac,660624,,,Hutoumoli,,,,,505501947,13,Complete Genome,5/2/21,,13
GCA_028456135.1,Malus_sieversii.altA,Malus sieversii,106567,,,,,PI613981,,,653630470,17,Complete Genome,2/6/23,WWNO01,17
GCA_031772625.1,CPIR1,Pinus tabuliformis,88731,,,Carrire,Pingquan,,,,24405841842,17,Complete Genome,11/3/23,JAVKPI01,17
GCA_025617385.1,AGM_Bkoe_4.1,Murraya koenigii,159030,,,Suvasini,,,,,331708485,9,Complete Genome,10/11/22,RWJL01,9
GCA_022457165.1,NFU_Jman_1.0,Juglans mandshurica,91218,,,,,NFU_2021,,,528151479,16,Complete Genome,3/10/22,JAJJIX01,16
